Title,Producer,Episodes,Rating,Members,Anime Information Url
Fullmetal Alchemist: Brotherhood,['Bones'],64,9.15,2800000,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
Sword Art Online,['A-1 Pictures'],25,7.2,2700000,https://myanimelist.net/anime/11757/Sword_Art_Online
Naruto,['Studio Pierrot'],220,7.96,2400000,https://myanimelist.net/anime/20/Naruto
Hunter x Hunter (2011),['Madhouse'],148,9.05,2300000,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
No Game No Life,['Madhouse'],12,8.12,2100000,https://myanimelist.net/anime/19815/No_Game_No_Life
Naruto: Shippuuden,['Studio Pierrot'],500,8.23,2000000,https://myanimelist.net/anime/1735/Naruto__Shippuuden
Noragami,['Bones'],12,7.97,1900000,https://myanimelist.net/anime/20507/Noragami
One Piece,['Toei Animation'],0,8.63,1800000,https://myanimelist.net/anime/21/One_Piece
Akame ga Kill!,['White Fox'],24,7.47,1800000,https://myanimelist.net/anime/22199/Akame_ga_Kill
Nanatsu no Taizai,['A-1 Pictures'],24,7.73,1800000,https://myanimelist.net/anime/23755/Nanatsu_no_Taizai
Sword Art Online II,['A-1 Pictures'],24,6.71,1700000,https://myanimelist.net/anime/21881/Sword_Art_Online_II
Kono Subarashii Sekai ni Shukufuku wo!,['Studio Deen'],10,8.13,1600000,https://myanimelist.net/anime/30831/Kono_Subarashii_Sekai_ni_Shukufuku_wo
Bleach,['Studio Pierrot'],366,7.84,1600000,https://myanimelist.net/anime/269/Bleach
Cowboy Bebop,['Sunrise'],26,8.76,1600000,https://myanimelist.net/anime/1/Cowboy_Bebop
Sen to Chihiro no Kamikakushi,['Studio Ghibli'],0,8.79,1600000,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi
Fairy Tail,"['A-1 Pictures', 'Satelight']",175,7.59,1600000,https://myanimelist.net/anime/6702/Fairy_Tail
Tengen Toppa Gurren Lagann,['Gainax'],27,8.64,1400000,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
Dr. Stone,['TMS Entertainment'],24,8.3,1400000,https://myanimelist.net/anime/38691/Dr_Stone
JoJo no Kimyou na Bouken (TV),['David Production'],26,7.93,1400000,https://myanimelist.net/anime/14719/JoJo_no_Kimyou_na_Bouken_TV
Fullmetal Alchemist,['Bones'],51,8.12,1300000,https://myanimelist.net/anime/121/Fullmetal_Alchemist
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,['J.C.Staff'],13,7.57,1300000,https://myanimelist.net/anime/28121/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka
Overlord,['Madhouse'],13,7.92,1300000,https://myanimelist.net/anime/29803/Overlord
Noragami Aragoto,['Bones'],13,8.17,1300000,https://myanimelist.net/anime/30503/Noragami_Aragoto
Kono Subarashii Sekai ni Shukufuku wo! 2,['Studio Deen'],10,8.28,1300000,https://myanimelist.net/anime/32937/Kono_Subarashii_Sekai_ni_Shukufuku_wo_2
Tate no Yuusha no Nariagari,['Kinema Citrus'],25,8.03,1300000,https://myanimelist.net/anime/35790/Tate_no_Yuusha_no_Nariagari
Tensei shitara Slime Datta Ken,['8bit'],24,8.13,1100000,https://myanimelist.net/anime/37430/Tensei_shitara_Slime_Datta_Ken
Made in Abyss,['Kinema Citrus'],13,8.68,1100000,https://myanimelist.net/anime/34599/Made_in_Abyss
Howl no Ugoku Shiro,['Studio Ghibli'],0,8.66,1100000,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro
Samurai Champloo,['Manglobe'],26,8.5,1100000,https://myanimelist.net/anime/205/Samurai_Champloo
Dragon Ball Z,['Toei Animation'],291,8.15,1100000,https://myanimelist.net/anime/813/Dragon_Ball_Z
Mononoke Hime,['Studio Ghibli'],0,8.68,1100000,https://myanimelist.net/anime/164/Mononoke_Hime
Vinland Saga,['Wit Studio'],24,8.73,1000000,https://myanimelist.net/anime/37521/Vinland_Saga
Log Horizon,['Satelight'],25,7.95,1000000,https://myanimelist.net/anime/17265/Log_Horizon
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,['David Production'],24,8.1,978000,https://myanimelist.net/anime/20899/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders
Nanatsu no Taizai: Imashime no Fukkatsu,['A-1 Pictures'],24,7.65,970000,https://myanimelist.net/anime/34577/Nanatsu_no_Taizai__Imashime_no_Fukkatsu
Dororo,"['MAPPA', 'Tezuka Productions']",24,8.23,967000,https://myanimelist.net/anime/37520/Dororo
Magi: The Labyrinth of Magic,['A-1 Pictures'],25,8.03,917000,https://myanimelist.net/anime/14513/Magi__The_Labyrinth_of_Magic
Goblin Slayer,['White Fox'],12,7.42,913000,https://myanimelist.net/anime/37349/Goblin_Slayer
Tonari no Totoro,['Studio Ghibli'],0,8.26,896000,https://myanimelist.net/anime/523/Tonari_no_Totoro
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,['David Production'],39,8.5,894000,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,['David Production'],24,8.44,893000,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season
Dragon Ball,['Toei Animation'],153,7.96,887000,https://myanimelist.net/anime/223/Dragon_Ball
Sword Art Online: Alicization,['A-1 Pictures'],24,7.56,868000,https://myanimelist.net/anime/36474/Sword_Art_Online__Alicization
Fairy Tail (2014),"['A-1 Pictures', 'Bridge']",102,7.67,859000,https://myanimelist.net/anime/22043/Fairy_Tail_2014
Overlord II,['Madhouse'],13,7.76,823000,https://myanimelist.net/anime/35073/Overlord_II
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,['David Production'],39,8.58,801000,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze
Magi: The Kingdom of Magic,['A-1 Pictures'],25,8.23,749000,https://myanimelist.net/anime/18115/Magi__The_Kingdom_of_Magic
Dr. Stone: Stone Wars,['TMS Entertainment'],11,8.19,736000,https://myanimelist.net/anime/40852/Dr_Stone__Stone_Wars
Zero no Tsukaima,['J.C.Staff'],13,7.26,736000,https://myanimelist.net/anime/1195/Zero_no_Tsukaima
Boruto: Naruto Next Generations,['Studio Pierrot'],0,5.87,728000,https://myanimelist.net/anime/34566/Boruto__Naruto_Next_Generations
Akatsuki no Yona,['Studio Pierrot'],24,8.03,728000,https://myanimelist.net/anime/25013/Akatsuki_no_Yona
Ookami to Koushinryou,['Imagin'],13,8.24,728000,https://myanimelist.net/anime/2966/Ookami_to_Koushinryou
Mushishi,['Artland'],26,8.67,723000,https://myanimelist.net/anime/457/Mushishi
Kami no Tou,['Telecom Animation Film'],13,7.58,714000,https://myanimelist.net/anime/40221/Kami_no_Tou
Akira,['Tokyo Movie Shinsha'],0,8.16,702000,https://myanimelist.net/anime/47/Akira
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",['A-1 Pictures'],12,7.7,700000,https://myanimelist.net/anime/28907/Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri
Dragon Ball Super,['Toei Animation'],131,7.41,695000,https://myanimelist.net/anime/30694/Dragon_Ball_Super
InuYasha,['Sunrise'],167,7.85,695000,https://myanimelist.net/anime/249/InuYasha
Tensei shitara Slime Datta Ken 2nd Season,['8bit'],12,8.41,692000,https://myanimelist.net/anime/39551/Tensei_shitara_Slime_Datta_Ken_2nd_Season
Banana Fish,['MAPPA'],24,8.51,681000,https://myanimelist.net/anime/36649/Banana_Fish
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,['J.C.Staff'],12,7.23,667000,https://myanimelist.net/anime/37347/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_II
Trigun,['Madhouse'],26,8.22,643000,https://myanimelist.net/anime/6/Trigun
Hai to Gensou no Grimgar,['A-1 Pictures'],12,7.66,636000,https://myanimelist.net/anime/31859/Hai_to_Gensou_no_Grimgar
D.Gray-man,['TMS Entertainment'],103,8.03,631000,https://myanimelist.net/anime/1482/DGray-man
Sword Art Online Movie: Ordinal Scale,['A-1 Pictures'],0,7.58,630000,https://myanimelist.net/anime/31765/Sword_Art_Online_Movie__Ordinal_Scale
Nanatsu no Taizai: Seisen no Shirushi,['A-1 Pictures'],4,7.01,624000,https://myanimelist.net/anime/31722/Nanatsu_no_Taizai__Seisen_no_Shirushi
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,['J.C.Staff'],0,8.47,613000,https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu
Sword Art Online: Alicization - War of Underworld,['A-1 Pictures'],12,7.58,607000,https://myanimelist.net/anime/39597/Sword_Art_Online__Alicization_-_War_of_Underworld
Claymore,['Madhouse'],26,7.75,605000,https://myanimelist.net/anime/1818/Claymore
Nanatsu no Taizai: Kamigami no Gekirin,['Studio Deen'],24,6.45,604000,https://myanimelist.net/anime/39701/Nanatsu_no_Taizai__Kamigami_no_Gekirin
Fumetsu no Anata e,"[""Brain's Base""]",20,8.42,602000,https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e
Rokka no Yuusha,['Passione'],12,7.3,561000,https://myanimelist.net/anime/28497/Rokka_no_Yuusha
Little Witch Academia (TV),['Trigger'],25,7.83,559000,https://myanimelist.net/anime/33489/Little_Witch_Academia_TV
Dragon Ball GT,['Toei Animation'],64,6.46,557000,https://myanimelist.net/anime/225/Dragon_Ball_GT
Pokemon,['OLM'],276,7.35,554000,https://myanimelist.net/anime/527/Pokemon
Log Horizon 2nd Season,['Studio Deen'],25,7.59,553000,https://myanimelist.net/anime/23321/Log_Horizon_2nd_Season
Satsuriku no Tenshi,['J.C.Staff'],16,6.95,545000,https://myanimelist.net/anime/35994/Satsuriku_no_Tenshi
Arifureta Shokugyou de Sekai Saikyou,"['asread.', 'White Fox']",13,6.66,530000,https://myanimelist.net/anime/36882/Arifureta_Shokugyou_de_Sekai_Saikyou
Kenpuu Denki Berserk,['OLM'],25,8.53,518000,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
Hunter x Hunter,['Nippon Animation'],62,8.4,509000,https://myanimelist.net/anime/136/Hunter_x_Hunter
Katanagatari,['White Fox'],12,8.33,507000,https://myanimelist.net/anime/6594/Katanagatari
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,['White Fox'],12,7.5,490000,https://myanimelist.net/anime/38659/Shinchou_Yuusha__Kono_Yuusha_ga_Ore_Tueee_Kuse_ni_Shinchou_Sugiru
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",['A-1 Pictures'],12,7.74,484000,https://myanimelist.net/anime/31637/Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri_2nd_Season
Drifters,['Hoods Drifters Studio'],12,7.91,484000,https://myanimelist.net/anime/31339/Drifters
Great Pretender,['Wit Studio'],23,8.28,476000,https://myanimelist.net/anime/40052/Great_Pretender
Majo no Takkyuubin,['Studio Ghibli'],0,8.22,476000,https://myanimelist.net/anime/512/Majo_no_Takkyuubin
Gake no Ue no Ponyo,['Studio Ghibli'],0,7.9,468000,https://myanimelist.net/anime/2890/Gake_no_Ue_no_Ponyo
Zero no Tsukaima: Futatsuki no Kishi,['J.C.Staff'],12,7.43,460000,https://myanimelist.net/anime/1840/Zero_no_Tsukaima__Futatsuki_no_Kishi
Tensei shitara Slime Datta Ken 2nd Season Part 2,['8bit'],12,8.31,459000,https://myanimelist.net/anime/41487/Tensei_shitara_Slime_Datta_Ken_2nd_Season_Part_2
Sword Art Online: Alicization - War of Underworld 2nd Season,['A-1 Pictures'],11,7.45,452000,https://myanimelist.net/anime/40540/Sword_Art_Online__Alicization_-_War_of_Underworld_2nd_Season
Isekai wa Smartphone to Tomo ni.,['Production Reed'],12,6.17,446000,https://myanimelist.net/anime/35203/Isekai_wa_Smartphone_to_Tomo_ni
Ookami to Koushinryou II,"[""Brain's Base"", 'Marvy Jack']",12,8.33,442000,https://myanimelist.net/anime/5341/Ookami_to_Koushinryou_II
Rurouni Kenshin: Meiji Kenkaku Romantan,"['Gallop', 'Studio Deen']",94,8.3,441000,https://myanimelist.net/anime/45/Rurouni_Kenshin__Meiji_Kenkaku_Romantan
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,['J.C.Staff'],12,7.45,434000,https://myanimelist.net/anime/40454/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_III
Kaifuku Jutsushi no Yarinaoshi,['TNK'],12,6.33,428000,https://myanimelist.net/anime/40750/Kaifuku_Jutsushi_no_Yarinaoshi
Sora yori mo Tooi Basho,['Madhouse'],13,8.54,425000,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho
Magi: Sinbad no Bouken (TV),['Lay-duce'],13,7.86,423000,https://myanimelist.net/anime/31741/Magi__Sinbad_no_Bouken_TV
Maoyuu Maou Yuusha,['Arms'],12,7.26,423000,https://myanimelist.net/anime/14833/Maoyuu_Maou_Yuusha
Fairy Tail: Final Series,"['A-1 Pictures', 'Bridge', 'CloverWorks']",51,7.55,421000,https://myanimelist.net/anime/35972/Fairy_Tail__Final_Series
Death March kara Hajimaru Isekai Kyousoukyoku,"['Connect', 'SILVER LINK.']",12,6.48,416000,https://myanimelist.net/anime/34497/Death_March_kara_Hajimaru_Isekai_Kyousoukyoku
